Mother_ID,live_neonates,dead_at_birth,slugs
133,13,1,2
112,12,0,0
115,10,0,0
119,10,0,0
126,10,1,0
114,9,0,0
104,8,0,0
125,8,2,0
127,8,0,0
128,8,2,0
129,8,0,1
134,8,0,1
103,7,0,0
135,7,0,0
101,6,0,0
105,6,1,1
124,6,0,0
117,5,2,1
131,5,0,1
