Indiv_ID,Sex,Life_Stage,SVL (mm),SVL_cm,Mass_g,CEWL_g_m2h,Pregnant,Plasma_Osmol_Rep_mean,Tb_at_CEWL,CEWL_Blood_Collect_Date,Region,msmt_temp_C,msmt_RM_percent,,,,
B1,M,adult,422,42.2,NA,13.52666667,NA,NA,25.5,5/29/21,ventrum,22.2,28.3,,,,
Baby1,M,juvenile,379,37.9,36.3,14.58666667,NA,NA,18,5/25/21,ventrum,14.9,39.2,,,,
Baby10,F,juvenile,261,26.1,9.1,11.34,NA,NA,18,5/25/21,ventrum,17.8,30.3,,,,
Baby11,M,juvenile,231,23.1,8.8,10.36,NA,NA,18,5/25/21,ventrum,17.7,30.4,,,,
Baby12,M,juvenile,252,25.2,11.3,7.285,NA,NA,18,5/25/21,ventrum,17.7,29.8,,,,
Baby13,M,juvenile,251,25.1,10.1,8.6,NA,NA,18,5/25/21,ventrum,17.9,31.4,,,,
Baby2,M,juvenile,329,32.9,25.7,14.625,NA,NA,18,5/25/21,ventrum,15.6,35.9,,,,
Baby3,F,juvenile,394,39.4,37.4,26.61666667,NA,NA,18,5/25/21,ventrum,16.5,36.4,,,,
Baby4,M,juvenile,360,36,29.7,11.8,NA,NA,18,5/25/21,ventrum,16.6,34.7,,,,
Baby5,M,juvenile,290,29,19.7,14.01,NA,NA,18,5/25/21,ventrum,17,33.9,,,,
Baby6,F,juvenile,348,34.8,22.8,9.285,NA,NA,18,5/25/21,ventrum,17,32.6,,,,
Baby7,F,juvenile,311,31.1,18,9.526666667,NA,NA,18,5/25/21,ventrum,17.1,31.1,,,,
Baby8,F,juvenile,276,27.6,14.3,12.8,NA,NA,18,5/25/21,ventrum,17.4,31,,,,
Baby9,F,juvenile,284,28.4,10.5,10.8,NA,NA,18,5/25/21,ventrum,17.3,31.1,,,,
BGP,M,adult,NA,NA,NA,25.95,NA,NA,18,5/26/21,ventrum,16.1,37.2,,,,
BPP,M,adult,974,97.4,697.7,30.50333333,NA,471,18,5/23/21,ventrum,20.2,26.2,,,,
BPPu,M,adult,708,70.8,236.2,15.25,NA,344.5,28,6/1/21,ventrum,24,21.1,,,,
BPW,M,adult,1007,100.7,849.1,58.87666667,NA,432,18,5/23/21,ventrum,17,28.3,,,,
BRB,M,adult,806,80.6,355.8,12.1,NA,403,27,5/28/21,ventrum,23.9,24.6,,,,
BRGG,M,adult,884,88.4,NA,17.33,NA,406.5,18,5/26/21,ventrum,15.2,39.7,,,,
BWB,M,adult,916,91.6,502.9,9.883333333,NA,378.6666667,26,5/29/21,ventrum,23.9,25.7,,,,
GBG,M,adult,963,96.3,680,19.7,NA,409.6666667,24,5/30/21,ventrum,21.8,34.3,,,,
GBY,M,adult,966,96.6,673.1,14.735,NA,387,16,5/26/21,ventrum,14.7,41.5,,,,
GRY,M,adult,709,70.9,275.5,22.44666667,NA,520,18,5/23/21,ventrum,20,24.2,,,,
GYY,M,adult,1102,110.2,968.4,13.235,NA,406,19,5/26/21,ventrum,17,37.7,,,,
O1,F,adult,853,85.3,344.7,13.17333333,N,417.5,25,6/1/21,ventrum,23.6,24.8,,,,
O2,F,adult,803,80.3,346.6,12.51666667,Y,405.3333333,24.5,6/1/21,ventrum,22.9,25.6,,,,
PBA,F,adult,935,93.5,709.7,15.91,Y,420.3333333,18,5/23/21,ventrum,18.7,25.6,,,,
PGA,M,adult,515,51.5,80.6,15.825,NA,436.5,18,5/23/21,ventrum,19.3,26.4,,,,
PiPuA,F,adult,773,77.3,444.8,45.24666667,Y,387.5,18,5/23/21,ventrum,19.1,24,,,,
PPA,F,adult,910,91,489.9,35.61333333,Y,409.5,18,5/23/21,ventrum,18.9,28.5,,,,
PPB,F,adult,NA,NA,NA,17.37,N ,414,23.5,5/31/21,ventrum,21.7,27.3,,,,
PPPu,F,adult,721,72.1,196.8,8.46,N,485,24,5/31/21,ventrum,21.6,26.1,,,,
PPuR,F,adult,884,88.4,494.4,21.50666667,Y,405,26,5/31/21,ventrum,22.5,26.5,,,,
PPuW,F,adult,841,84.1,508.1,24.42,Y,417.6666667,23,6/1/21,ventrum,20.8,31.3,,,,
PPuY,F,adult,921,92.1,629.3,23.88666667,Y,381,25,5/31/21,ventrum,22.4,32.7,,,,
PRA,F,adult,869,86.9,681.9,24.18666667,Y,356,18,5/23/21,ventrum,20,24.7,,,,
PRP,F,adult,801,80.1,330.7,12.065,N,422,24,5/28/21,ventrum,23.6,19.4,,,,
PRPu,F,adult,855,85.5,445.5,28.555,N,381.6666667,26,6/1/21,ventrum,24.2,22.7,,,,
PRY,F,adult,769,76.9,365.7,19.24666667,N,383,22,5/27/21,ventrum,21.7,20.8,,,,
PuBPi,M,adult,707,70.7,289.2,27.83333333,NA,397.3333333,18,5/23/21,ventrum,19.9,23.5,,,,
PuYW,M,adult,890,89,529.2,16.73,NA,380.5,24,5/28/21,ventrum,23.8,20.8,,,,
PuYY,M,adult,911,91.1,615.9,34.22666667,NA,NA,20,5/25/21,ventrum,19.3,25.9,,,,
PWA,F,adult,822,82.2,329.7,9.466666667,Y,370,20,5/25/21,ventrum,17.8,28.4,,,,
PWPu,F,adult,729,72.9,267.4,13.21,Y,387.5,23.5,5/31/21,ventrum,21.6,28.3,,,,
PWR,F,adult,736,73.6,373.4,30.48,Y,418,18,5/23/21,ventrum,20,23.1,,,,
R1,F,adult,845,84.5,340.6,21.375,N,NA,22.5,5/30/21,ventrum,21.1,33.1,,,,
RBA,F,adult,866,86.6,555.1,21.215,Y,NA,17,5/26/21,ventrum,13.4,44.7,,,,
RBP,F,adult,868,86.8,325.6,3.66,N,383.5,22.5,5/28/21,ventrum,21.8,21.4,,,,
RBW,F,adult,835,83.5,356.6,28.62666667,Y,379.5,18,5/23/21,ventrum,19.6,25.7,,,,
RGR,F,adult,770,77,259.8,25.64,N,444,22,5/29/21,ventrum,19.6,29.2,,,,
RPA,F,adult,723,72.3,248.4,12.37,N,402.3333333,17,5/26/21,ventrum,14.2,42.9,,,,
RWA,F,adult,620,62,145,20.10666667,N,391.5,20,5/26/21,ventrum,19.1,31.2,,,,
RYA,F,adult,609,60.9,128.6,6.03,N,397,21,5/26/21,ventrum,20,24.3,,,,
RYG,F,adult,748,74.8,282,11.91,N,NA,25,5/29/21,ventrum,23,28.5,,,,
WBR,F,adult,825,82.5,283,2.47,N,370.3333333,22,5/27/21,ventrum,19.7,24.2,,,,
WGA,F,adult,674,67.4,190.5,23.25,N,NA,22,5/27/21,ventrum,21.3,23.1,,,,
WGG,F,adult,843,84.3,323.6,12.67,N,403.5,22,5/27/21,ventrum,20.8,25,,,,
WGPu,F,adult,681,68.1,223.6,13.97333333,N,363.5,24,5/31/21,ventrum,21.3,30.4,,,,
WPPu,F,adult,NA,NA,NA,8.316666667,Y,460,25,6/1/21,ventrum,23,24.6,,,,
WPuA,F,adult,765,76.5,307.3,28.68,N,394,25,5/28/21,ventrum,24.1,22.6,,,,
WPuW,F,adult,812,81.2,434.2,29.08666667,Y,384.5,23,6/1/21,ventrum,22.4,28,,,,
WRA,F,adult,679,67.9,278.1,11.62,N,376.6666667,27,5/28/21,ventrum,23.8,23.6,,,,
WWA,F,adult,954,95.4,464.1,24.30666667,N,385,22.5,5/30/21,ventrum,20.9,36.1,,,,
WWB,F,adult,763,76.3,336.7,1.976666667,N,405.5,22.5,5/27/21,ventrum,19.8,23.2,,,,
WWG,F,adult,1011,101.1,524.1,14.02,N,363,24.5,5/28/21,ventrum,23.5,18.7,,,,
WYA,F,adult,531,53.1,93,15.97333333,N,403.6666667,25,5/29/21,ventrum,20.4,27.3,,,,
YBP,M,adult,1025,102.5,729.7,17.345,NA,416,24.5,5/31/21,ventrum,22.1,24.5,,,,
YBY,M,adult,985,98.5,NA,13.805,NA,408,25,5/28/21,ventrum,23.8,25.5,,,,
YGR,M,adult,751,75.1,274.1,36.405,NA,390.6666667,18,5/23/21,ventrum,18.1,27.6,,,,
YRP,M,adult,702,70.2,247.2,14.80333333,NA,NA,26.5,6/1/21,ventrum,24.5,22.3,,,,
YRR,M,adult,1002,100.2,706.1,28.8,NA,426,25,5/31/21,ventrum,22.1,26.9,,,,
YYP,M,adult,811,81.1,382.3,20.295,NA,388.5,26,5/29/21,ventrum,23.4,27.2,,,,
