"","term","estimate","std.error","statistic","p.value","model"
"1","(Intercept)",-31.9889027798314,20.923351734986,-1.52886130219484,0.133001782984102,"CEWL; best mod"
"2","msmt_temp_C",2.15568691246336,0.83523264251052,2.58094188702187,0.0130348648671149,"CEWL; best mod"
"3","(Intercept)",-28.6487247942925,21.8936095098879,-1.30854278648542,0.197333304321021,"CEWL; 2nd best mod"
"4","msmt_temp_C",2.12252775742462,0.800040711611094,2.65302468564425,0.010982657176032,"CEWL; 2nd best mod"
"5","SVL_cm",0.0934489531112778,0.0605146282376546,1.54423741552675,0.129534925654201,"CEWL; 2nd best mod"
"6","SMI",-0.0210497869916568,0.0138795649395721,-1.51660279578661,0.136361082678527,"CEWL; 2nd best mod"
